upc_place,asin_place,Name,my_list_price_amz_wal_upc_place,my_list_price_anything_place,ebay_lowest,ebay_mid_1,ebay_mid_2,ebay_mid_3,ebay_mid_4,ebay_mid_5,ebay_mid_6,ebay_mid_7,ebay_mid_8,ebay_highest
725182013111,B00004S9GT,La Pavoni PB Large Base with Sliding Drawer Black,,,,,,,,,,,,
75609000980,B000052YQ3,Olay Complete Lotion Moisturizer with SPF 15 Sensitive 6.0 oz,,,12.5,14.5,15.48,15.52,17.89,18.4,20,20.13,21.99,22.95
371687660147,B00014HIWS,Garlique Garlic Extract Supplement Healthy Cholesterol Formula Odorless & Vegan 60 Caplets,,,13.99,14.42,14.99,15.57,15.84,15.95,16,16.99,16.99,16.99
808709811541,B000C9QEF4,ACDelco GM Original Equipment PF2232 Engine Oil Filter,,,11.9,11.95,11.99,11.99,13.95,14.08,14.24,14.5,14.63,14.75
46798258452,B000HHLKRI,TetraFauna ReptoFilter Filter Cartridges Size Medium Filter Cartridge Refills 3 Count,,,7.99,8.99,9.99,9.99,11,11.04,11.04,12.5,12.55,13
737870607106,B000PC318Q,Life Extension DHEA 25 mg – For Hormone Balance Immune Support Sexual Health and Anti-Aging - Supports Memory & Mood - Non-GMO Gluten-Free Vegetarian - 100 Dissolve-In-Mouth Tablets,,,10.5,10.95,10.99,12,14.99,15,15.5,15.5,15.99,16.95
43156892259,B000R80S5C,Schlage FE595 PLY 626 ELA Plymouth Keypad Entry with Flex-Lock and Elan Style Levers Brushed Chrome,,,179.99,213.28,,,,,,,,
609032478971,B000WQZ5PC,Yankee Candle Lemon Lavender Scented Classic 22oz Large Jar Single Wick Candle Over 110 Hours of Burn Time Ideal for Gifting Events and Home Fragrance,,,22,22.5,24,26,26.5,26.5,30,30,34,34
371687300326,B0014G59F0,Pamprin Multi-Symptom Formula with Acetaminophen Menstrual Period Symptoms Relief including Cramps Pain Bloating and Irritability 40 Caplets,,,9.99,9.99,10.79,12,12.5,12.8,14.6,,,
300680418301,B001F0R76O,Citrucel Powder Orange Flavor Fiber Therapy for Occasional Constipation Relief 30 ounce,,,14.98,21,24.37,24.5,24.99,25,25.99,26.98,27.99,28.1
767644275408,B001G7QTB0,Geritol Multi-Vitamin Nutritional Support Tablets Balance of 26 Essential Vitamins and Minerals 100-Count Bottles (Pack of 2),,,13.99,14.98,14.99,14.99,15.53,16.15,16.36,16.43,16.65,17
37000434870,B001TH7K0G,Metamucil Daily Psyllium Husk Powder Supplement 3-in-1 Fiber Supplement for Digestive Health Plant Based Fiber Supplement 300ct Capsules,,,17.77,19.85,23,24.5,24.99,26.5,27.5,28.26,28.95,29
884903923068,B001W6RHOS,Benecalorie Calorie and Protein Enhancer - Unflavored (330 Calories 7g Protein) - 1.5 fl oz Cups 24 Pack,,,13.12,38,48,52,52.99,55,55.5,59,59.73,60.15
17163003526,B004LO9KSY,API TAP WATER CONDITIONER Aquarium Water Conditioner 16-Ounce Bottle,,,11.99,13.98,14.25,15.69,15.75,17.75,18.99,18.99,19.83,20.75
70018049216,B005F1IKU6,Nioxin System 1 Scalp Activating Treatment for Fine Natural Normal-Thin Hair 6.8 Ounce,,,15.99,15.99,16.99,19.85,19.95,19.99,20,21,21.74,21.99
97855067166,B005R3D8TA,Usb Keyboard And Mouse Combo Plug-And-Play,,,15.99,15.99,17,17.8,20.2,21,21,22,22.5,22.5
755332127177,B0097PF0VI,Bar Soap - Aqua by Zest for Women - 8 x 4 oz Bar Soap,,,17.91,,,,,,,,,
20066198657,B00EQGIUQ0,Painter's Touch Ultra Cover Latex Paint Dark Gray Gloss Qt.,,,19.99,23,25,25.64,28.32,30.92,33.57,34.09,34.43,39.57
658010114202,B00H4HYWGA,Vitamin Code 50 and Wiser Men's Formula - 240 ct,,,21.99,22.99,22.99,23.98,24.95,24.99,26.24,26.33,27.99,28.12
829835001699,B00IIZPW70,Amazing Grass Green Superfood Immunity: Super Greens Powder with Vitamin C Cordyceps Beet Root Powder & Reishi Mushrooms Tangerine 30 Servings,,,25.5,29.99,30.97,39.89,56.77,,,,,
78716111709,B00LBGQ0CY,Augason Farms Cooked Freeze Dried White Meat Chicken Dices Can Emergency Food Supply Everyday Meals 15 Servings,,,59.99,75.89,82.97,91.33,94.23,98.68,98.68,98.68,98.68,98.98
732454071533,B00MXCRAX8,Lutron Caseta Original Smart Dimmer Switch Starter Kit with Pico Remote Wall Plate and Smart Hub Works with Alexa Apple Home and Google Home 3 Way 150W No Neutral Req P-BDG-PKG1W,,,89.93,151.95,151.95,,,,,,,
77212005734,B00MY4RK4O,Bosch BE727H Blue Disc Brake Pad Set with Hardware for Select Chevrolet Classic Malibu; Oldsmobile Alero Cutlass; and Pontiac Grand Am - FRONT,,,40.03,42.16,43.29,43.32,44.42,57,,,,
885911363006,B00ODN0S70,DEWALT 20V MAX Cordless Reciprocating Saw Compact Variable Speed LED Light Bare Tool Only (DCS387B),,,67.1,131.74,131.75,137.1,144.61,150,171.79,172,182.48,196
97855096739,B00P43PCI8,Logitech M185 Wireless Mouse,,,8.21,9.58,9.89,10,12,12.59,12.68,13.3,13.9,13.99
784276067782,B00QMYIPGY,Lutron Pico Remote for Caseta Smart Dimmer Switch (PJ2-3BRL-GWH-L01),,,17.95,18.75,19.67,20,22,23,24,26,27.6,27.6
851770003377,B00RWWOKL4,Orgain Organic Vegan Meal Replacement Protein Powder Vanilla,,,37.99,38.92,46.19,57,57.04,57.04,57.04,57.04,,
814832021313,B015NS22N6,ExpertPower YTX7A-BS 12 V 7 Ah Lead-Acid Battery,,,20,35.08,35.84,36.66,38.04,38.97,39.64,39.85,40.52,40.86
765809252097,B01CPH574E,WIX FILTR LD 51358XP Oil Filters,,,17.02,19.96,20.09,20.18,20.67,20.99,21,21.5,21.93,21.93
859805006324,B01E67SEC8,Zhou Spirulina Powder - Blue Green Spirulina Superfood for Women & Men with Vegan Protein Chlorophyll & Phycocyanin for Smooth Energy & Longevity Drink Mix for Smoothies - 6 oz Jar (48 Servings),,,28.97,28.99,28.99,28.99,35,40.5,40.5,46.51,52.23,
70177174361,B01FRP27QM,Twinings Earl Grey Lavender Tea 20 ct (Pack of 6),,,5.46,8,9.49,9.99,9.99,10.5,13.85,14.85,25.5,30.49
855553005381,B01H30LN6E,SoCozy Kids Swim 3-in-1 Shampoo + Conditioner + Body Wash (10.5 fl oz),,,8.5,10,12.39,12.99,13.5,13.7,13.98,14.07,15.77,16.15
72140016548,B01IAFK9FM,NIVEA MEN Sensitive Cooling Shaving Gel 7 oz (Pack of 6),,,8.76,9.9,10.31,10.99,11,11.85,11.99,12.25,13.5,13.99
885911260800,B01IFLI7JG,DeWalt DCG412B 20 V MAX 4-1/2″ Cut-Off Tool (Tool Only),,,69.99,83,84,84.99,89.99,94,95,95.11,99.95,99.99
748927021356,B01IVWB6FQ,Optimum Nutrition Creatine 2500 Capsules 300 ct,,,19.44,24.9,24.99,30.3,35.99,36.99,38.99,39.99,39.99,42
726630038304,B01MZG5KNP,Sunco PAR30 LED Bulb 11 W 3000 K (10-pack),,,,,,,,,,,,
48598157775,B01N2HX5HT,Monroe Strut-Mate 909918 Suspension Strut Mount,,,26.95,27.5,32.05,32.72,32.72,32.73,32.82,32.86,32.99,33.43
77924048142,B01N3NJW3G,Weber 7175 Charcoal Kettle Grill Cover 18″,,,17.1,17.99,18.04,18.99,19.99,20.2,21.2,21.2,22,24.99
742797764740,B01N4RXHLX,Burt’s Bees Itch Soothing Shampoo for Dogs with Honeysuckle,,,,,,,,,,,,
734357219906,B06X9GGNZC,Battery Tender Junior 12 V 800 mA Charger & Maintainer,,,20.85,39.95,39.99,39.99,39.99,39.99,42.5,44.95,44.99,45
94733160247,B06ZYW6HDK,HotHands Hand & Toe Warmers Combo Pack (24/8),,,20.79,26.8,29.3,29.99,30.89,30.89,31.41,31.5,32.09,33.54
755970407815,B071JWGTFR,Cosequin Senior Joint Health Supplement for Dogs 120 ct,,,35.15,46.99,60,,,,,,,
33674115374,B073H8DK2J,Nature’s Way Alive! Women’s 50+ Daily Gummy Multivitamins,,,14.99,19,22.3,24,24.99,24.99,25.5,26.84,33.71,36
897922002355,B075VYSLV8,PBfit Chocolate Peanut Butter Powder 15 oz (Pack of 6),,,10.33,13.25,13.35,15.3,,,,,,
859730006475,B07999PRWM,Beyond Paint All-in-One Silver Metallic 1 pint,,,,,,,,,,,,
47469073329,B079TD92GS,Natrol Melatonin Gummies 5 mg Strawberry 90 ct,,,13.5,15.32,16.2,17.55,17.9,17.95,18.28,18.95,19.95,24
10343934870,B07BLZ93RX,Epson 302 Claria Premium Ink Standard Capacity Combo Pack,,,34.95,39.95,39.99,42,44.95,44.99,45,46.69,53.99,59.76
723497239752,B07DVZ515Z,MOZA Racing KS 300 mm Butterfly-Style GT Steering Wheel,,,385,389.06,457.8,475,475,505,,,,
357896101107,B07F2CNJQQ,GeriCare Acetaminophen 325 mg 1000 tablets,,,17.95,19.99,21.24,21.92,22.28,24,24.8,24.8,24.8,
659781666938,B07FMP1Y31,Juven Therapeutic Nutrition Powder Orange 30 pack,,,89,95,101.86,117,127.99,154.75,154.75,,,
46798410027,B07G7GRM2M,Tetra 41002 Stay Clean Bio-Bag Medium 8 Pack,,,17,22.99,30,,,,,,,
885911557818,B07JQM7C28,DEWALT 20V MAX Orbital Sander Tool Only (DCW210B),,,43.99,54.99,70,79.99,80,84.49,84.89,85,85.3,86.1
658010124478,B07K4RF361,Garden of Life Dr. Formulated Ketogenic Meal Balanced Shake Powder Truly Grass Fed Butter & Whey Protein Plus Probiotics Non-GMO Gluten Free Paleo Replacement Vanilla 23.7 Oz,,,44.99,,,,,,,,,
669002831427,B07KLS6RC2,Bundle: Medistrom Pilot 24 Lite with 3 Pack Travel CPAP Wipes - 95Wh CPAP Battery Backup Power Supply for CPAP Machine - Camping Power Bank - Lightweight Portable Battery - TSA Approved CPAP Battery,,,,,,,,,,,,
851770007009,B07KYR2321,Orgain Organic Vegan Protein Powder Creamy Chocolate Fudge - 21g Plant Protein 6g Prebiotic Fiber Low Carb No Lactose Ingredients No Added Sugar Non-GMO For Shakes & Smoothies 10 Travel Packs,,,34,50.35,50.35,,,,,,,
697029843772,B07LGF9KWQ,TheraBreath Anticavity Fluoride Mouthwash Sparkle Mint Dentist Formulated 16 Fl Oz (2-Pack).,,,,,,,,,,,,
,B07NGY19KQ,i box Dawn RadioFM  Bluetooth Wireless Speaker Fast Charging Clock Radio LED Display USB Charger Dimmable Night Light Alarm Clock Feature Wireless Charger Digital Clock Dual Alarm (White),,,,,,,,,,,,
669125136621,B07QYX2JNR,Nutri-Vet Hip & Joint Biscuits for Dogs - Extra Strength 6 lbs - Pack of 3,,,31.99,32.5,33.59,36.71,36.81,36.9,38.94,39.87,41.17,41.79
97855148155,B07R6PCJYX,ASTRO Gaming A50 Wireless Headset + Base Station Gen 4 - Compatible with Xbox Series X|S Xbox One PC Mac - Black/ Gold,,,120,128,130,132,132.5,150,158,160,170,175.99
192018046634,B07R8JL95K,HP 89X Black High-yield Toner Cartridge for HP Printers | Works with Printer Series: LaserJet Enterprise M507 LaserJet Enterprise MFP M528 | CF289X,,,175,179.9,187,205,205,219.95,220,220,220,225
75609199059,B07XQBY5QQ,Olay Retinol 24 Face Moisturizer Anti-Aging Night Cream for Women Fragrance-Free Non Greasy - Anti-Wrinkle Smooth Fine Lines Tightening Hydrating Skin Care - Peptides Glycerin 1.7 Oz,,,14.52,15.99,38,39.95,,,,,,
850036786986,B07Z1DBYZZ,JustFoodForDogs Pantry Fresh Wet Dog Food Complete Meal or Dog Food Topper Lamb & Brown Rice Human Grade Dog Food Recipe - 12.5 oz (Pack of 12),,,144.95,144.95,147.67,147.67,,,,,,
666519636026,B08177ZPKM,Tommee Tippee Ultra-Light Silicone Pacifier 0-6 Months Symmetrical One-Piece Design BPA-Free Silicone Binkies Clear/ Blue/ Green Pack of 4,,,13.99,14,25.99,,,,,,,
30878142939,B08562D7X8,Enbrighten Almond Z-Wave Plus Smart Light Switch with QuickFit and SimpleWire 3-Way Ready Compatible with Alexa Google Assistant ZWave Hub Required Repeater/ Range Extender Toggle 14293,,,17.5,17.99,18,19.98,20,20,29,29,31,33
650530032554,B086QB7WZ1,AT&T BL102-2 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine Call Blocking Caller ID Announcer Audio Assist Intercom and Unsurpassed Range Silver/ Black,,,23,31.5,32.85,36,36,38,38.5,39,39.5,40
815017029612,B08B3J12L7,SimpliSafe Entry Sensor - Window and Door Protection - Compatible with Gen 3 Home Security System,,,14,14,14,14.7,14.8,14.8,14.8,14.95,15,15
18084021699,B08F16ML92,Aveda Tulasara Firming Sleeping Masque Rich Moisturizing Night Cream 1.7 Fluid Ounce,,,54.99,58,59.95,64,64.98,65,67.76,71,86,126
810036733700,B08G8VFCNX,Double Donut Flavored Coffee Pods Pumpkin Spice Coffee Single Serve Coffee for Keurig K Cups Machines Medium Roast Coffee in Recyclable Pods 24 Count,,,14.39,20.5,21.24,21.77,22.05,22.12,22.46,23.77,24.58,27.4
788311364478,B08KDG6G1P,GDSMOTU AND0293 13871 421000-0011 Alternator Compatible with for Town & Country for Grand Caravan 3.3L 3.8L 01-07 Alternator 12V 140AMP,,,91.37,91.37,91.37,,,,,,,
74660534786,B08P5432LM,Turtle Wax 53478 Hybrid Solutions Pro 1 and Done Compound Correct and Finish 16 oz.,,,16.99,17.5,17.79,18.99,18.99,19.94,19.99,21.99,24,26
742797894003,B08PW32RK6,GNC Pets Advanced Dog Supplements Cardiovascular Support & Heart Health Chews for Dogs Soft Pet Supplement Made in USA Cardio Vitamins & Easy to Chew Canine Essentials 90 Count,,,25,52.24,55.79,55.79,,,,,,
191693210835,B08W1WGLHD,Zippo NFL HeatBank 9s Rechargeable Hand Warmer- Black-Dallas Cowboys,,,,,,,,,,,,
742797783079,B08YD3CRLN,Clorox Fraganzia Air Care Air Freshener Crystal Beads in Lavender with Eucalpytus Scent Scent 12 Oz Lavender Eucalyptus Scented Air Freshener Gel Beads from Clorox Fraganzia for Car or Home(Pack of 1),,,5.99,6.28,6.28,6.28,6.9,6.97,6.99,7.31,11,11.8
617308542608,B0928DS47X,Flex Wireless Activity + Sleep Wristband Two Wristbands Included Small/ Large (Two Wristbands Included Large and Small Teal),,,,,,,,,,,,
,B093GCL18V,ARZOPA Portable Monitor 15.6'' 1080P FHD Laptop Monitor USB C HDMI Computer Display HDR Eye Care External Screen w/ Smart Cover for Mac Phone Xbox Switch PS5-S1 Table,,,,,,,,,,,,
840095878043,B094YHJJVG,Amazon Basics Outdoor Smart Plug with 2 Individually Controlled Outlets Works with Alexa Only 2.4 GHz Wi-Fi No Hub Required Black,,,21,25,28,32,33.34,47.99,52.99,,,
751784600923,B09885JMHL,FELIWAY® Optimum 30 Day Cat Calming Refill for Pheromone Diffuser 48ml - Helps Reduce Common Signs of Stress in Cats & Kittens Enhanced Calming,,,,,,,,,,,,
637480065153,B09B7Z7WGG,Atkins Café Caramel Iced Coffee Flavored Protein Shake High Protein Shake Low Glycemic Low Carb and Low Sugar Keto Friendly Gluten Free 12 Count,,,26.95,29.99,31.45,45,55,,,,,
305734451747,B09BVYY7XR,Centrum Adult Multivitamin/ Multimineral Supplement with Antioxidants Zinc Vitamin D3 and B Vitamins Gluten Free Non-GMO Ingredients - 200 Count,,,14.99,15.99,16.14,16.6,17.48,17.48,17.67,17.99,19.85,19.99
195553274005,B09MZQ978N,ASUS ZenScreen 15.6” 1080P Portable USB Monitor (MB166C) - Full HD IPS USB Type-C  Tripod Mountable Anti-Glare Surface Protective Sleeve 3-Year Warranty,,,71.36,73,77,77.5,81.99,82,85,89.95,89.99,89.99
36000542127,B09NMRDJQM,Poise Ultra Thin Incontinence & Postpartum Pads with Wings for Bladder Leaks 4 Drop Moderate Absorbency Regular Length 54 Count Packaging May Vary,,,14,17.99,17.99,25.95,,,,,,
722510012006,B09RB8T5SC,Gorilla Glue O'Keeffe's Skin Repair Body Lotion W/ Pump-12oz,,,46.95,46.95,,,,,,,,
31604043735,B09RQYSGN4,Nature Made Maximum Strength Vitamin D3 10000 IU (250 mcg) Dietary Supplement for Bone Teeth Muscle and Immune Health Support 60 Softgels 60 Day Supply,,,13.95,13.99,14.95,15,15.4,15.99,17.98,19.49,19.75,21.95
766907016758,B09TQ26TGJ,ViewSonic PX701HDH 1080p Projector 3500 Lumens Supercolor Vertical Lens Shift Dual HDMI 10w Speaker Enjoy Sports and Netflix Streaming with Dongle,,,627,633.62,899.95,,,,,,,
850027424217,B09V9WC1S1,FELIWAY Optimum 6 x 30 Day Cat Calming Refills for Pheromone Diffuser 6 x 48ml Value Pack - Helps Reduce Common Signs of Stress in Cats & Kittens Enhanced Calming,,,,,,,,,,,,
54651195059,B09ZKV22S1,Creative Stage Air V2 2.0 Portable Bluetooth Sound Bar Speaker - 10 W RMS - Black,,,55,65.49,78.35,83.59,84.76,90.54,98.74,102.13,115.34,126.38
,B0B2DQHV7Z,Keychron K10 Pro Wireless Custom Mechanical Keyboard Full-Size QMK/ VIA Programmable Bluetooth/ Wired White Backlight with Hot-swappable Keychron K Pro Red Switch Compatible with Mac Windows Linux,,,,,,,,,,,,
44321024741,B0B39QD6D5,Design House 189472-MB Porter Cabinet and Drawer Pull 5-Inch (128mm) Center to Center Matte Black 5-Pack,,,41.75,46.74,52.79,59.98,63.81,,,,,
748927068238,B0B75HVR46,Optimum Nutrition Amino Energy Powder Plus Hydration with BCAA Electrolytes and Caffeine Strawberry Burst 30 Servings (Packaging May Vary),,,20.99,21.88,23.99,24.95,26.26,28.81,32.97,35.2,36.97,37.99
650240065873,B0B83THPXW,Dragon - Maximum Strength Pain Relief Numbing Cream with Lidocaine 2.7 Ounce (Pack of 3),,,,,,,,,,,,
195553568951,B0B8GKL9K2,Asus ROG Archer BP2702 Gaming Backpack Fits Up To 17 inch Laptop,,,119.99,,,,,,,,,
,B0B8SKKZWX,,,,,,,,,,,,,
,B0BKKPYX6P,Glade PlugIns Refills Air Freshener Scented and Essential Oils for Home and Bathroom Clean Linen 6.7 Fl Oz 10 Count (Packaging May Vary),,,,,,,,,,,,
61700300487,B0BLHX6HPH,Nair Sensitive Formula Prep & Smooth Face Hair Remover Soothing with Coconut Milk & Collagen Removes Facial Hair & Fuzz Smooths & Exfoliates Dermatologist Tested 1.76 oz (Pack of 2),,,,,,,,,,,,
,B0BN2ZQ4DX,Keychron K4 Pro Custom Wireless Mechanical Keyboard 96 Keys Hot-swappable QMK/ VIA Programmable Macro with K Pro Red Switch RGB Backlit Compatible Mac Windows Linux - Black,,,,,,,,,,,,
810084690185,B0BWNLTTGF,Ubiquiti Camera G5 Bullet,,,125.33,136,161,162,163.2,174,178,180.9,186,199.99
20066492304,B0BY3G9D95,Rust-Oleum 369384 Advanced Dry Door & Trim Paint Quart Satin White,,,28.97,28.99,30.08,,,,,,,
810007713953,B0C5DZHCY9,Hyperkin Xenon Wired Controller - White - Officially licensed Xbox 360 Controller replica for use with Xbox Series X|S Xbox One Windows 10|11 PC Video Game Controller 3.5MM Audio Jack Impulse Triggers Plug and Play Gaming Gamepad,,,54.59,59,101.78,114,157,249,,,,
850048434479,B0C7H27ZFY,Craft & Kin Reed Diffuser with Dried Flowers | 5 oz Santal Woods Scented Reed Diffusers for Home Bathroom | Scent Sticks | Elegant Fragrance Home Decor for Men & Women,,,39.99,47.43,48.94,49.41,49.41,50.23,50.55,50.99,51.41,51.46